pop_rank,city,state,month,year,mean_sales_price,number_of_sales,home_value,market_heat_index,value_surplus
83,"Akron, OH",OH,2,2008,111182.75,398.0,124307.86961008215,,-13125.119610082154
83,"Akron, OH",OH,3,2008,117496.4,403.0,124112.72549484271,,-6616.32549484272
83,"Akron, OH",OH,4,2008,116325.5,480.0,124067.89610415044,,-7742.396104150437
83,"Akron, OH",OH,5,2008,140846.0,478.0,124246.82183109078,,16599.178168909217
83,"Akron, OH",OH,6,2008,137244.5,603.0,124224.5009722006,,13019.999027799393
83,"Akron, OH",OH,7,2008,129223.5,551.0,124164.7097296808,,5058.790270319194
83,"Akron, OH",OH,8,2008,135843.0,578.0,123847.7121232729,,11995.287876727103
83,"Akron, OH",OH,9,2008,120410.0,564.0,123525.19464229284,,-3115.194642292845
83,"Akron, OH",OH,10,2008,115612.0,556.0,123173.05630877322,,-7561.056308773215
83,"Akron, OH",OH,11,2008,104614.4,386.0,122766.13767173636,,-18151.737671736366
83,"Akron, OH",OH,12,2008,97483.75,460.0,122035.02688320252,,-24551.276883202518
83,"Akron, OH",OH,1,2009,89178.2,367.0,121270.01401258608,,-32091.81401258608
83,"Akron, OH",OH,2,2009,89638.0,371.0,120540.50294043742,,-30902.50294043742
83,"Akron, OH",OH,3,2009,92845.0,479.0,119939.36175583788,,-27094.361755837876
83,"Akron, OH",OH,4,2009,99592.0,483.0,119396.93992844391,,-19804.939928443913
83,"Akron, OH",OH,5,2009,106148.8,503.0,118983.74164807564,,-12834.941648075634
83,"Akron, OH",OH,6,2009,112267.0,575.0,118622.298956958,,-6355.298956957995
83,"Akron, OH",OH,7,2009,119875.75,583.0,118170.09443924608,,1705.6555607539194
83,"Akron, OH",OH,8,2009,116457.0,501.0,117767.51774774212,,-1310.517747742124
83,"Akron, OH",OH,9,2009,137251.0,507.0,117581.15762914602,,19669.842370853978
83,"Akron, OH",OH,10,2009,107705.8,514.0,117604.315065682,,-9898.515065682004
83,"Akron, OH",OH,11,2009,114766.0,504.0,117539.71229942016,,-2773.7122994201636
83,"Akron, OH",OH,12,2009,111894.25,452.0,117319.89204065553,,-5425.642040655526
83,"Akron, OH",OH,1,2010,112354.0,266.0,117023.7993365191,,-4669.799336519107
83,"Akron, OH",OH,2,2010,118066.25,296.0,116830.84741533188,,1235.402584668118
83,"Akron, OH",OH,3,2010,121865.5,418.0,116645.5771794023,,5219.922820597698
83,"Akron, OH",OH,4,2010,127143.5,522.0,116345.010180241,,10798.489819758994
83,"Akron, OH",OH,5,2010,127699.4,558.0,116498.31865343958,,11201.081346560415
83,"Akron, OH",OH,6,2010,139492.0,611.0,116934.98959631076,,22557.010403689244
83,"Akron, OH",OH,7,2010,127038.0,387.0,117383.04117473008,,9654.958825269918
83,"Akron, OH",OH,8,2010,129726.5,402.0,117285.77475334522,,12440.72524665478
83,"Akron, OH",OH,9,2010,118706.75,383.0,116672.1076938121,,2034.6423061879032
83,"Akron, OH",OH,10,2010,122291.8,352.0,115893.3820434363,,6398.417956563702
